count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
66,1,0.27872959,0.1082542,movement_cost
66,1,0.5108835,0.09681689,baseline_metabolic_cost
66,1,19.66855147,2.3165109,energy_capacity
66,1,16.79506952,1.97174686,reproduction_energy_threshold
66,1,0.45073152,0.0260135,reproduction_energy_transfer_fraction
66,1,0.15204892,0.01129268,reproduction_cost_fraction
66,1,5.21212121,1.35417594,maturity_age
66,1,0.02605784,0.02208223,aging_cost
66,1,0.38300812,0.05275821,exploration_bias
66,1,0.30645679,0.05876345,learning_rate
66,1,5.0,1.0,memory_length
66,1,0.49633769,0.04165561,temperature_tolerance
66,1,0.8521499,0.02424683,sensor_precision
161,2,0.29393226,0.15942922,movement_cost
161,2,0.4877282,0.13937791,baseline_metabolic_cost
161,2,19.68092843,3.02317198,energy_capacity
161,2,16.06539701,2.74417711,reproduction_energy_threshold
161,2,0.45395458,0.03821027,reproduction_energy_transfer_fraction
161,2,0.15174935,0.01827405,reproduction_cost_fraction
161,2,5.7515528,1.9079144,maturity_age
161,2,0.01920662,0.02160709,aging_cost
161,2,0.38915246,0.06594907,exploration_bias
161,2,0.30466795,0.07166081,learning_rate
161,2,4.7826087,1.45617406,memory_length
161,2,0.48783259,0.06467415,temperature_tolerance
161,2,0.85759973,0.03965343,sensor_precision
164,3,0.26768427,0.17424194,movement_cost
164,3,0.46025724,0.1569036,baseline_metabolic_cost
164,3,19.82558121,3.66652675,energy_capacity
164,3,14.58479051,3.46033107,reproduction_energy_threshold
164,3,0.46468366,0.04960007,reproduction_energy_transfer_fraction
164,3,0.15263688,0.02028349,reproduction_cost_fraction
164,3,5.53658537,2.21797052,maturity_age
164,3,0.01643774,0.02030951,aging_cost
164,3,0.39763264,0.0700142,exploration_bias
164,3,0.28076974,0.09355362,learning_rate
164,3,4.45731707,1.57863251,memory_length
164,3,0.49764743,0.09289407,temperature_tolerance
164,3,0.86315278,0.05156059,sensor_precision
107,4,0.26970332,0.1653696,movement_cost
107,4,0.48550617,0.15934452,baseline_metabolic_cost
107,4,20.14699581,4.13569124,energy_capacity
107,4,13.44333805,3.92835099,reproduction_energy_threshold
107,4,0.47640161,0.06032911,reproduction_energy_transfer_fraction
107,4,0.14590473,0.02452453,reproduction_cost_fraction
107,4,4.96261682,2.38345243,maturity_age
107,4,0.02293323,0.0236715,aging_cost
107,4,0.40740265,0.08587536,exploration_bias
107,4,0.28383942,0.10478287,learning_rate
107,4,4.94392523,1.86873827,memory_length
107,4,0.46411725,0.106585,temperature_tolerance
107,4,0.86656786,0.0472596,sensor_precision
32,5,0.25059338,0.16447887,movement_cost
32,5,0.50074542,0.26917912,baseline_metabolic_cost
32,5,19.4891031,4.51656788,energy_capacity
32,5,12.56396253,3.97411193,reproduction_energy_threshold
32,5,0.48624256,0.07468133,reproduction_energy_transfer_fraction
32,5,0.14509772,0.01964076,reproduction_cost_fraction
32,5,5.0625,2.54874356,maturity_age
32,5,0.0200802,0.01911426,aging_cost
32,5,0.41457587,0.07947814,exploration_bias
32,5,0.25938423,0.09578659,learning_rate
32,5,5.34375,2.10073462,memory_length
32,5,0.48651759,0.11188889,temperature_tolerance
32,5,0.87149851,0.0509659,sensor_precision
40,6,0.19859875,0.13837714,movement_cost
40,6,0.40058409,0.39776058,baseline_metabolic_cost
40,6,15.80652121,5.35139904,energy_capacity
40,6,9.38980821,3.67956266,reproduction_energy_threshold
40,6,0.50633573,0.09508704,reproduction_energy_transfer_fraction
40,6,0.14650578,0.01992375,reproduction_cost_fraction
40,6,5.05,3.72793509,maturity_age
40,6,0.02274322,0.02037096,aging_cost
40,6,0.39811775,0.07617533,exploration_bias
40,6,0.33883494,0.11646687,learning_rate
40,6,4.625,1.17659466,memory_length
40,6,0.61968185,0.12371615,temperature_tolerance
40,6,0.88041193,0.07785186,sensor_precision
23,7,0.08329795,0.09678425,movement_cost
23,7,0.15484321,0.24471209,baseline_metabolic_cost
23,7,17.94644573,3.66064287,energy_capacity
23,7,7.55959816,3.97891489,reproduction_energy_threshold
23,7,0.55479848,0.04335084,reproduction_energy_transfer_fraction
23,7,0.15229161,0.02473931,reproduction_cost_fraction
23,7,3.08695652,2.84242767,maturity_age
23,7,0.01307582,0.02113374,aging_cost
23,7,0.38284726,0.07152893,exploration_bias
23,7,0.24935402,0.1024009,learning_rate
23,7,5.0,1.31876095,memory_length
23,7,0.62930858,0.09431337,temperature_tolerance
23,7,0.90920143,0.03812692,sensor_precision
3,8,0.07165755,0.02059503,movement_cost
3,8,0.08367218,0.09998246,baseline_metabolic_cost
3,8,21.89506591,1.91938755,energy_capacity
3,8,6.18780426,1.37283837,reproduction_energy_threshold
3,8,0.54483889,0.05588172,reproduction_energy_transfer_fraction
3,8,0.16651855,0.03294261,reproduction_cost_fraction
3,8,4.33333333,0.47140452,maturity_age
3,8,0.0101656,0.01437634,aging_cost
3,8,0.40566949,0.14634877,exploration_bias
3,8,0.20248792,0.12890808,learning_rate
3,8,5.66666667,1.24721913,memory_length
3,8,0.64149155,0.03203696,temperature_tolerance
3,8,0.87962121,0.03144032,sensor_precision
