count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
19,1,0.27450692,0.10110605,movement_cost
19,1,0.47332661,0.10724265,baseline_metabolic_cost
19,1,19.94015166,1.73643865,energy_capacity
19,1,16.14061524,2.37738496,reproduction_energy_threshold
19,1,0.44288847,0.02715396,reproduction_energy_transfer_fraction
19,1,0.15024221,0.01303572,reproduction_cost_fraction
19,1,4.68421053,1.37850535,maturity_age
19,1,0.02322517,0.02206732,aging_cost
19,1,0.39509948,0.05690056,exploration_bias
19,1,0.30632032,0.05120651,learning_rate
19,1,5.0,0.79471941,memory_length
19,1,0.50671759,0.037443,temperature_tolerance
19,1,0.8546684,0.0189037,sensor_precision
31,2,0.21760068,0.11752039,movement_cost
31,2,0.3848361,0.14610804,baseline_metabolic_cost
31,2,18.94329761,3.31613911,energy_capacity
31,2,16.10524763,2.52150685,reproduction_energy_threshold
31,2,0.42816652,0.03016099,reproduction_energy_transfer_fraction
31,2,0.1623156,0.02043286,reproduction_cost_fraction
31,2,5.38709677,1.63977613,maturity_age
31,2,0.01365236,0.0240347,aging_cost
31,2,0.43088241,0.05978646,exploration_bias
31,2,0.26160645,0.05493851,learning_rate
31,2,5.22580645,0.94047611,memory_length
31,2,0.47506593,0.05709405,temperature_tolerance
31,2,0.86872752,0.03087213,sensor_precision
60,3,0.07784656,0.06768528,movement_cost
60,3,0.34540007,0.10779639,baseline_metabolic_cost
60,3,20.89056526,2.49064278,energy_capacity
60,3,17.0507075,3.06283564,reproduction_energy_threshold
60,3,0.43680787,0.03663393,reproduction_energy_transfer_fraction
60,3,0.16426365,0.02189293,reproduction_cost_fraction
60,3,5.78333333,1.48426937,maturity_age
60,3,0.01389454,0.01637749,aging_cost
60,3,0.41243466,0.06758977,exploration_bias
60,3,0.31203923,0.0551084,learning_rate
60,3,4.85,1.56870435,memory_length
60,3,0.5322754,0.08687222,temperature_tolerance
60,3,0.92343065,0.04031416,sensor_precision
62,4,0.06559917,0.07587557,movement_cost
62,4,0.29787479,0.14577198,baseline_metabolic_cost
62,4,20.60420473,3.16560532,energy_capacity
62,4,16.73605903,2.92461756,reproduction_energy_threshold
62,4,0.43688309,0.05262719,reproduction_energy_transfer_fraction
62,4,0.16880651,0.02614249,reproduction_cost_fraction
62,4,5.01612903,1.68954981,maturity_age
62,4,0.01056179,0.01535681,aging_cost
62,4,0.3668683,0.06784161,exploration_bias
62,4,0.32572086,0.0555651,learning_rate
62,4,5.30645161,1.6420749,memory_length
62,4,0.60082027,0.1112363,temperature_tolerance
62,4,0.95917917,0.05410619,sensor_precision
113,5,0.05877013,0.06516828,movement_cost
113,5,0.18744564,0.12959525,baseline_metabolic_cost
113,5,20.08877075,3.70231634,energy_capacity
113,5,15.0666544,3.84768336,reproduction_energy_threshold
113,5,0.42429127,0.05475275,reproduction_energy_transfer_fraction
113,5,0.17332598,0.02699965,reproduction_cost_fraction
113,5,5.85840708,2.0301587,maturity_age
113,5,0.00975162,0.01429329,aging_cost
113,5,0.35364867,0.06947104,exploration_bias
113,5,0.32292937,0.06045654,learning_rate
113,5,4.91150442,1.531715,memory_length
113,5,0.61255815,0.09083869,temperature_tolerance
113,5,0.95441123,0.05454712,sensor_precision
113,6,0.07050016,0.07862599,movement_cost
113,6,0.12060502,0.11713649,baseline_metabolic_cost
113,6,19.60513742,4.36312243,energy_capacity
113,6,14.95982274,3.34930784,reproduction_energy_threshold
113,6,0.43052463,0.04634514,reproduction_energy_transfer_fraction
113,6,0.16531262,0.02957659,reproduction_cost_fraction
113,6,6.15929204,2.02884671,maturity_age
113,6,0.00848348,0.0138064,aging_cost
113,6,0.32524254,0.07928829,exploration_bias
113,6,0.30639542,0.06221383,learning_rate
113,6,5.27433628,1.75614112,memory_length
113,6,0.63528352,0.08883409,temperature_tolerance
113,6,0.96824887,0.04158182,sensor_precision
83,7,0.06683639,0.07245797,movement_cost
83,7,0.07687265,0.08761684,baseline_metabolic_cost
83,7,22.02072794,6.14683472,energy_capacity
83,7,14.6142456,3.6256103,reproduction_energy_threshold
83,7,0.42626101,0.04737133,reproduction_energy_transfer_fraction
83,7,0.16404612,0.02735014,reproduction_cost_fraction
83,7,4.92771084,2.45333868,maturity_age
83,7,0.00996687,0.01368041,aging_cost
83,7,0.32811344,0.0817551,exploration_bias
83,7,0.30009482,0.08799325,learning_rate
83,7,6.02409639,1.67170574,memory_length
83,7,0.64227498,0.11097874,temperature_tolerance
83,7,0.97707054,0.02958977,sensor_precision
16,8,0.06522613,0.07122786,movement_cost
16,8,0.08762265,0.08259957,baseline_metabolic_cost
16,8,25.33972451,5.49496259,energy_capacity
16,8,13.31049202,3.60012095,reproduction_energy_threshold
16,8,0.37813926,0.05832785,reproduction_energy_transfer_fraction
16,8,0.17768799,0.02750294,reproduction_cost_fraction
16,8,5.5625,2.39710111,maturity_age
16,8,0.01250203,0.01674884,aging_cost
16,8,0.31148849,0.07669173,exploration_bias
16,8,0.36010628,0.07559559,learning_rate
16,8,5.5,1.6955825,memory_length
16,8,0.58787837,0.08698577,temperature_tolerance
16,8,0.96603946,0.03042605,sensor_precision
