count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
25,1,0.30999231,0.12650609,movement_cost
25,1,0.51925567,0.08895443,baseline_metabolic_cost
25,1,19.87260347,1.96684251,energy_capacity
25,1,16.85322475,2.43726546,reproduction_energy_threshold
25,1,0.45103216,0.0224595,reproduction_energy_transfer_fraction
25,1,0.15109209,0.01244301,reproduction_cost_fraction
25,1,5.28,1.51049661,maturity_age
25,1,0.02149817,0.01755829,aging_cost
25,1,0.40610138,0.04764978,exploration_bias
25,1,0.30295792,0.05100729,learning_rate
25,1,4.84,1.15516233,memory_length
25,1,0.5049709,0.04063643,temperature_tolerance
25,1,0.85327968,0.02842328,sensor_precision
69,2,0.14029904,0.11324104,movement_cost
69,2,0.50920522,0.09820635,baseline_metabolic_cost
69,2,21.93782995,2.63001789,energy_capacity
69,2,16.01185806,2.88617527,reproduction_energy_threshold
69,2,0.46879284,0.03248313,reproduction_energy_transfer_fraction
69,2,0.1648707,0.0159359,reproduction_cost_fraction
69,2,4.33333333,1.90853663,maturity_age
69,2,0.01304002,0.01950901,aging_cost
69,2,0.41340831,0.0670041,exploration_bias
69,2,0.30387782,0.04384551,learning_rate
69,2,5.04347826,1.39808132,memory_length
69,2,0.49356413,0.04828664,temperature_tolerance
69,2,0.89184666,0.03655484,sensor_precision
91,3,0.07269772,0.09673288,movement_cost
91,3,0.46733496,0.15348603,baseline_metabolic_cost
91,3,20.30141071,3.02505088,energy_capacity
91,3,15.3494771,3.33785295,reproduction_energy_threshold
91,3,0.46415713,0.03775067,reproduction_energy_transfer_fraction
91,3,0.16247324,0.02063568,reproduction_cost_fraction
91,3,4.89010989,1.99146834,maturity_age
91,3,0.01093697,0.01449566,aging_cost
91,3,0.39455534,0.07946835,exploration_bias
91,3,0.30965923,0.06539256,learning_rate
91,3,3.85714286,1.81913775,memory_length
91,3,0.49749079,0.072696,temperature_tolerance
91,3,0.87164847,0.03817773,sensor_precision
69,4,0.07952428,0.08240874,movement_cost
69,4,0.28555792,0.18357663,baseline_metabolic_cost
69,4,22.51899925,2.70121995,energy_capacity
69,4,16.09358475,3.12789809,reproduction_energy_threshold
69,4,0.41749984,0.05897404,reproduction_energy_transfer_fraction
69,4,0.16448644,0.01882211,reproduction_cost_fraction
69,4,3.47826087,2.06845665,maturity_age
69,4,0.01116524,0.01587362,aging_cost
69,4,0.51304151,0.10673783,exploration_bias
69,4,0.32777622,0.10224503,learning_rate
69,4,4.34782609,1.38130464,memory_length
69,4,0.59634375,0.0901714,temperature_tolerance
69,4,0.87779326,0.04412748,sensor_precision
85,5,0.11617767,0.11287174,movement_cost
85,5,0.16741677,0.22011581,baseline_metabolic_cost
85,5,22.78679069,3.36274494,energy_capacity
85,5,15.24293326,2.6748832,reproduction_energy_threshold
85,5,0.41656544,0.0603791,reproduction_energy_transfer_fraction
85,5,0.17194114,0.02061814,reproduction_cost_fraction
85,5,3.35294118,1.96861183,maturity_age
85,5,0.00847343,0.01317101,aging_cost
85,5,0.49592439,0.11977199,exploration_bias
85,5,0.37090902,0.11532529,learning_rate
85,5,4.0,1.940285,memory_length
85,5,0.60588866,0.11506134,temperature_tolerance
85,5,0.87008132,0.03917254,sensor_precision
95,6,0.08168314,0.08487636,movement_cost
95,6,0.1036533,0.13697321,baseline_metabolic_cost
95,6,23.23174006,3.7917699,energy_capacity
95,6,16.17805471,3.01762296,reproduction_energy_threshold
95,6,0.41023367,0.06093978,reproduction_energy_transfer_fraction
95,6,0.16798312,0.0201,reproduction_cost_fraction
95,6,4.42105263,2.38671299,maturity_age
95,6,0.01080404,0.01409436,aging_cost
95,6,0.43643359,0.10098985,exploration_bias
95,6,0.45116343,0.11912663,learning_rate
95,6,4.35789474,2.44482607,memory_length
95,6,0.6681184,0.15701057,temperature_tolerance
95,6,0.86748191,0.03496724,sensor_precision
73,7,0.07180088,0.07937858,movement_cost
73,7,0.06526776,0.07431491,baseline_metabolic_cost
73,7,22.82987979,3.10881615,energy_capacity
73,7,14.68578756,3.64076461,reproduction_energy_threshold
73,7,0.39679942,0.05479816,reproduction_energy_transfer_fraction
73,7,0.16540146,0.02248494,reproduction_cost_fraction
73,7,4.20547945,2.35225863,maturity_age
73,7,0.01143463,0.01623105,aging_cost
73,7,0.43644289,0.13003726,exploration_bias
73,7,0.52246983,0.14445494,learning_rate
73,7,3.65753425,1.72189111,memory_length
73,7,0.71016017,0.13835224,temperature_tolerance
73,7,0.87479968,0.04056581,sensor_precision
66,8,0.05863377,0.06805314,movement_cost
66,8,0.06773245,0.07275124,baseline_metabolic_cost
66,8,21.38724593,3.16108197,energy_capacity
66,8,10.64211333,3.45365339,reproduction_energy_threshold
66,8,0.35975964,0.04169784,reproduction_energy_transfer_fraction
66,8,0.1537761,0.02714414,reproduction_cost_fraction
66,8,3.5,2.1479377,maturity_age
66,8,0.00603745,0.01126919,aging_cost
66,8,0.43283144,0.09571002,exploration_bias
66,8,0.59293452,0.07909456,learning_rate
66,8,2.78787879,1.60977273,memory_length
66,8,0.82023001,0.08460672,temperature_tolerance
66,8,0.89929294,0.03731149,sensor_precision
29,9,0.06047,0.07779522,movement_cost
29,9,0.05186638,0.05793909,baseline_metabolic_cost
29,9,22.22632488,3.42609388,energy_capacity
29,9,9.25970741,3.21475271,reproduction_energy_threshold
29,9,0.36674861,0.03934107,reproduction_energy_transfer_fraction
29,9,0.15531645,0.02425793,reproduction_cost_fraction
29,9,3.06896552,1.99881059,maturity_age
29,9,0.0102693,0.01307918,aging_cost
29,9,0.41322804,0.0797451,exploration_bias
29,9,0.60231896,0.07313634,learning_rate
29,9,2.37931034,1.34968178,memory_length
29,9,0.83930531,0.05608181,temperature_tolerance
29,9,0.90489552,0.02870684,sensor_precision
8,10,0.05448901,0.03624122,movement_cost
8,10,0.04058419,0.03391251,baseline_metabolic_cost
8,10,24.38727704,3.01858059,energy_capacity
8,10,5.40985096,2.78474098,reproduction_energy_threshold
8,10,0.38810934,0.03711957,reproduction_energy_transfer_fraction
8,10,0.19163123,0.01206564,reproduction_cost_fraction
8,10,3.125,1.26861145,maturity_age
8,10,0.02487083,0.02286278,aging_cost
8,10,0.38204413,0.04252145,exploration_bias
8,10,0.54775071,0.06807234,learning_rate
8,10,1.5,0.5,memory_length
8,10,0.89038759,0.06697268,temperature_tolerance
8,10,0.90221754,0.03836361,sensor_precision
