count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
70,1,0.30671543,0.0941093,movement_cost
70,1,0.5009284,0.10220477,baseline_metabolic_cost
70,1,20.24762904,2.21581018,energy_capacity
70,1,16.89937382,2.08029468,reproduction_energy_threshold
70,1,0.45380784,0.02963274,reproduction_energy_transfer_fraction
70,1,0.15058404,0.01301229,reproduction_cost_fraction
70,1,4.75714286,1.36733019,maturity_age
70,1,0.02422903,0.0189066,aging_cost
70,1,0.38839435,0.05095346,exploration_bias
70,1,0.29736699,0.05130075,learning_rate
70,1,5.22857143,0.98809237,memory_length
70,1,0.49074747,0.05141861,temperature_tolerance
70,1,0.85596989,0.0249215,sensor_precision
136,2,0.25483135,0.13474161,movement_cost
136,2,0.52036314,0.14969625,baseline_metabolic_cost
136,2,20.6774422,2.74135654,energy_capacity
136,2,15.9435693,3.07269437,reproduction_energy_threshold
136,2,0.45227232,0.03976838,reproduction_energy_transfer_fraction
136,2,0.14617356,0.02049301,reproduction_cost_fraction
136,2,5.40441176,1.76726224,maturity_age
136,2,0.01684451,0.0195468,aging_cost
136,2,0.39436079,0.07451591,exploration_bias
136,2,0.29902186,0.07716806,learning_rate
136,2,5.22794118,1.31712092,memory_length
136,2,0.47826377,0.06034394,temperature_tolerance
136,2,0.85694609,0.03728016,sensor_precision
194,3,0.2121473,0.14285265,movement_cost
194,3,0.48654372,0.14929609,baseline_metabolic_cost
194,3,20.89568911,3.34446143,energy_capacity
194,3,14.47063721,2.87427923,reproduction_energy_threshold
194,3,0.45216891,0.04438394,reproduction_energy_transfer_fraction
194,3,0.13382346,0.02786672,reproduction_cost_fraction
194,3,4.94329897,2.32021183,maturity_age
194,3,0.01807893,0.02335657,aging_cost
194,3,0.36864793,0.07056667,exploration_bias
194,3,0.25197228,0.09367941,learning_rate
194,3,4.76804124,1.37833355,memory_length
194,3,0.45333643,0.08593255,temperature_tolerance
194,3,0.82232576,0.04893995,sensor_precision
137,4,0.24194648,0.18320383,movement_cost
137,4,0.47564175,0.16294639,baseline_metabolic_cost
137,4,22.41784926,3.76483092,energy_capacity
137,4,14.56364776,3.52597802,reproduction_energy_threshold
137,4,0.45779056,0.05424652,reproduction_energy_transfer_fraction
137,4,0.12845623,0.02921876,reproduction_cost_fraction
137,4,5.03649635,2.76423656,maturity_age
137,4,0.01545135,0.01942764,aging_cost
137,4,0.35536099,0.0893326,exploration_bias
137,4,0.26439939,0.0937533,learning_rate
137,4,4.82481752,1.67374666,memory_length
137,4,0.4693504,0.11228452,temperature_tolerance
137,4,0.81294768,0.04275929,sensor_precision
105,5,0.13913302,0.13657498,movement_cost
105,5,0.45007987,0.17623605,baseline_metabolic_cost
105,5,23.79471837,3.4986873,energy_capacity
105,5,13.90386735,3.67442377,reproduction_energy_threshold
105,5,0.42814138,0.05465664,reproduction_energy_transfer_fraction
105,5,0.13837618,0.02868524,reproduction_cost_fraction
105,5,4.12380952,2.82740075,maturity_age
105,5,0.01875778,0.01975105,aging_cost
105,5,0.45357451,0.14381007,exploration_bias
105,5,0.29098888,0.08928324,learning_rate
105,5,5.42857143,1.43332542,memory_length
105,5,0.53215346,0.11263604,temperature_tolerance
105,5,0.83366266,0.04407393,sensor_precision
53,6,0.10110163,0.10428423,movement_cost
53,6,0.37028445,0.1886145,baseline_metabolic_cost
53,6,25.55107438,3.65282976,energy_capacity
53,6,14.14334251,3.55979954,reproduction_energy_threshold
53,6,0.4353629,0.05462487,reproduction_energy_transfer_fraction
53,6,0.15362234,0.02892707,reproduction_cost_fraction
53,6,3.01886792,2.14995012,maturity_age
53,6,0.01844578,0.02283667,aging_cost
53,6,0.4956513,0.13234848,exploration_bias
53,6,0.31022186,0.09414541,learning_rate
53,6,5.26415094,1.69517566,memory_length
53,6,0.58117071,0.10182493,temperature_tolerance
53,6,0.82920582,0.05335694,sensor_precision
10,7,0.09528197,0.0616113,movement_cost
10,7,0.17178788,0.14451894,baseline_metabolic_cost
10,7,28.94280045,4.68301332,energy_capacity
10,7,13.27982507,3.27528772,reproduction_energy_threshold
10,7,0.43809699,0.02727894,reproduction_energy_transfer_fraction
10,7,0.1724705,0.026486,reproduction_cost_fraction
10,7,1.7,1.00498756,maturity_age
10,7,0.01995185,0.01664075,aging_cost
10,7,0.4661979,0.08862202,exploration_bias
10,7,0.34463711,0.06098821,learning_rate
10,7,4.5,1.43178211,memory_length
10,7,0.58130552,0.10577898,temperature_tolerance
10,7,0.80450983,0.05341796,sensor_precision
